dia,poblacion_sana,poblacion_infectada
195,662499.1399,26624.7064
196,670198.8916,27252.0717
197,677800.7326,27924.1168
198,685294.7796,28642.9895
199,692670.8273,29410.9704
200,699918.3413,30230.4759
201,707026.4521,31104.0607
202,713983.9482,32034.4194
203,720779.2718,33024.3879
204,727400.5141,34076.9432
205,733835.4134,35195.2019
206,740071.3538,36382.4179
207,746095.3668,37641.9775
208,751894.1358,38977.3934
209,757454.0030,40392.2954
210,762760.9811,41890.4191
211,767800.7684,43475.5914
212,772558.7699,45151.7123
213,777020.1238,46922.7331
214,781169.7346,48792.6305
215,784992.3142,50765.3754
216,788472.4305,52844.8970
217,791594.5659,55035.0419
218,794343.1852,57339.5262
219,796702.8146,59761.8826
220,798658.1319,62305.4009
221,800194.0689,64973.0615
222,801295.9257,67767.4636
223,801949.4983,70690.7466
224,802141.2181,73744.5058
225,801858.3037,76929.7039
226,801088.9239,80246.5775
227,799822.3714,83694.5416
228,798049.2436,87272.0920
229,795761.6310,90976.7096
230,792953.3086,94804.7662
231,789619.9268,98751.4368
232,785759.2001,102810.6194
233,781371.0865,106974.8663
234,776457.9554,111235.3300
235,771024.7374,115581.7260
236,765079.0515,120002.3173
237,758631.3049,124483.9217
238,751694.7599,129011.9458
239,744285.5637,133570.4475
240,736422.7374,138142.2274
241,728128.1218,142708.9509
242,719426.2765,147251.3005
243,710344.3340,151749.1555
244,700911.8082,156181.7987
245,691160.3597,160528.1451
246,681123.5220,164766.9887
247,670836.3934,168877.2622
248,660335.3009,172838.3029
249,649657.4434,176630.1199
250,638840.5224,180233.6542
251,627922.3676,183631.0263
252,616940.5674,186805.7644
253,605932.1109,189743.0087
254,594933.0503,192429.6856
255,583978.1896,194854.6492
256,573100.8052,197008.7868
257,562332.4036,198885.0875
258,551702.5186,200478.6732
259,541238.5497,201786.7934
260,530965.6426,202808.7849
261,520906.6108,203546.0008
262,511081.8960,204001.7107
263,501509.5654,204180.9768
264,492205.3415,204090.5106
265,483182.6619,203738.5146
266,474452.7624,203134.5134
267,466024.7823,202289.1780
268,457905.8848,201214.1481
269,450101.3899,199921.8562
270,442614.9149,198425.3556
271,435448.5206,196738.1560
272,428602.8579,194874.0677
273,422077.3143,192847.0579
274,415870.1559,190671.1185
275,409978.6653,188360.1468
276,404399.2721,185927.8403
277,399127.6757,183387.6037
278,394158.9603,180752.4703
279,389487.7000,178035.0351
280,385108.0559,175247.4006
281,381013.8630,172401.1337
282,377198.7093,169507.2327
283,373656.0055,166576.1042
284,370379.0470,163617.5480
285,367361.0675,160640.7502
286,364595.2863,157654.2822
287,362074.9486,154666.1063
288,359793.3589,151683.5853
289,357743.9106,148713.4967
290,355920.1086,145762.0504
291,354315.5890,142834.9085
292,352924.1339,139937.2080
293,351739.6832,137073.5845
294,350756.3427,134248.1972
295,349968.3901,131464.7545
296,349370.2780,128726.5404
297,348956.6356,126036.4405
298,348722.2682,123396.9675
299,348662.1550,120810.2873
300,348771.4463,118278.2436
301,349045.4588,115802.3819
302,349479.6712,113383.9730
303,350069.7178,111024.0355
304,350811.3825,108723.3570
305,351700.5921,106482.5143
306,352733.4089,104301.8933
307,353906.0233,102181.7065
308,355214.7468,100122.0110
309,356656.0039,98122.7238
310,358226.3245,96183.6377
311,359922.3365,94304.4347
312,361740.7577,92484.6998
313,363678.3889,90723.9329
314,365732.1057,89021.5602
315,367898.8517,87376.9446
316,370175.6314,85789.3955
317,372559.5025,84258.1778
318,375047.5699,82782.5199
319,377636.9782,81361.6213
320,380324.9058,79994.6597
321,383108.5582,78680.7968
322,385985.1620,77419.1846
323,388951.9590,76208.9702
324,392006.2003,75049.3009
325,395145.1409,73939.3280
326,398366.0339,72878.2111
327,401666.1260,71865.1215
328,405042.6518,70899.2453
329,408492.8295,69979.7861
330,412013.8560,69105.9676
331,415602.9023,68277.0358
332,419257.1098,67492.2612
333,422973.5856,66750.9401
334,426749.3990,66052.3966
335,430581.5776,65395.9836
336,434467.1039,64781.0840
337,438402.9119,64207.1118
338,442385.8837,63673.5128
339,446412.8472,63179.7653
340,450480.5725,62725.3808
341,454585.7699,62309.9042
342,458725.0874,61932.9143
343,462895.1081,61594.0237
344,467092.3488,61292.8792
345,471313.2578,61029.1617
346,475554.2136,60802.5860
347,479811.5234,60612.9007
348,484081.4219,60459.8879
349,488360.0708,60343.3626
350,492643.5576,60263.1726
351,496927.8957,60219.1974
352,501209.0243,60211.3481
353,505482.8080,60239.5661
354,509745.0381,60303.8222
355,513991.4326,60404.1162
356,518217.6379,60540.4749
357,522419.2299,60712.9513
358,526591.7158,60921.6233
359,530730.5364,61166.5916
360,534831.0689,61447.9784
361,538888.6291,61765.9255
362,542898.4759,62120.5919
363,546855.8143,62512.1518
364,550755.8003,62940.7922
365,554593.5455,63406.7097
