dia,poblacion_sana,poblacion_infectada
200,258558.6459,23026.3800
201,261420.6390,22768.7317
202,264307.5087,22526.1039
203,267218.1597,22298.1782
204,270151.4732,22084.6553
205,273106.3061,21885.2551
206,276081.4912,21699.7161
207,279075.8361,21527.7949
208,282088.1229,21369.2663
209,285117.1082,21223.9227
210,288161.5224,21091.5738
211,291220.0692,20972.0464
212,294291.4259,20865.1842
213,297374.2429,20770.8473
214,300467.1431,20688.9122
215,303568.7225,20619.2716
216,306677.5493,20561.8340
217,309792.1644,20516.5237
218,312911.0809,20483.2805
219,316032.7842,20462.0597
220,319155.7320,20452.8317
221,322278.3543,20455.5820
222,325399.0534,20470.3112
223,328516.2039,20497.0347
224,331628.1529,20535.7825
225,334733.2200,20586.5995
226,337829.6975,20649.5448
227,340915.8504,20724.6921
228,343989.9169,20812.1294
229,347050.1083,20911.9590
230,350094.6092,21024.2971
231,353121.5781,21149.2740
232,356129.1474,21287.0339
233,359115.4237,21437.7348
234,362078.4885,21601.5481
235,365016.3980,21778.6589
236,367927.1842,21969.2652
237,370808.8549,22173.5783
238,373659.3942,22391.8223
239,376476.7635,22624.2336
240,379258.9018,22871.0610
241,382003.7263,23132.5651
242,384709.1334,23409.0180
243,387372.9997,23700.7027
244,389993.1822,24007.9128
245,392567.5203,24330.9518
246,395093.8360,24670.1323
247,397569.9359,25025.7758
248,399993.6120,25398.2112
249,402362.6435,25787.7743
250,404674.7984,26194.8069
251,406927.8353,26619.6554
252,409119.5052,27062.6699
253,411247.5540,27524.2024
254,413309.7247,28004.6060
255,415303.7598,28504.2328
256,417227.4045,29023.4321
257,419078.4096,29562.5492
258,420854.5346,30121.9226
259,422553.5517,30701.8822
260,424173.2496,31302.7470
261,425711.4374,31924.8223
262,427165.9495,32568.3974
263,428534.6501,33233.7426
264,429815.4388,33921.1059
265,431006.2556,34630.7103
266,432105.0872,35362.7501
267,433109.9730,36117.3878
268,434019.0117,36894.7498
269,434830.3680,37694.9234
270,435542.2803,38517.9525
271,436153.0678,39363.8335
272,436661.1384,40232.5114
273,437064.9971,41123.8759
274,437363.2542,42037.7567
275,437554.6337,42973.9198
276,437637.9823,43932.0631
277,437612.2783,44911.8124
278,437476.6403,45912.7177
279,437230.3364,46934.2490
280,436872.7930,47975.7932
281,436403.6036,49036.6503
282,435822.5372,50116.0308
283,435129.5469,51213.0529
284,434324.7777,52326.7403
285,433408.5737,53456.0203
286,432381.4853,54599.7231
287,431244.2753,55756.5805
288,429997.9243,56925.2266
289,428643.6353,58104.1979
290,427182.8378,59291.9353
291,425617.1899,60486.7858
292,423948.5802,61687.0060
293,422179.1281,62890.7654
294,420311.1830,64096.1517
295,418347.3220,65301.1755
296,416290.3466,66503.7775
297,414143.2777,67701.8351
298,411909.3492,68893.1705
299,409592.0008,70075.5593
300,407194.8685,71246.7401
301,404721.7746,72404.4243
302,402176.7161,73546.3068
303,399563.8516,74670.0770
304,396887.4879,75773.4303
305,394152.0644,76854.0796
306,391362.1378,77909.7671
307,388522.3654,78938.2767
308,385637.4875,79937.4452
309,382712.3102,80905.1741
310,379751.6869,81839.4413
311,376760.5000,82738.3113
312,373743.6431,83599.9463
313,370706.0024,84422.6152
314,367652.4393,85204.7032
315,364587.7723,85944.7192
316,361516.7609,86641.3039
317,358444.0893,87293.2353
318,355374.3508,87899.4344
319,352312.0339,88458.9690
320,349261.5086,88971.0575
321,346227.0147,89435.0699
322,343212.6502,89850.5297
323,340222.3618,90217.1133
324,337259.9366,90534.6488
325,334328.9939,90803.1140
326,331432.9801,91022.6333
327,328575.1634,91193.4738
328,325758.6301,91316.0403
329,322986.2822,91390.8701
330,320260.8365,91418.6264
331,317584.8236,91400.0922
332,314960.5893,91336.1625
333,312390.2959,91227.8370
334,309875.9246,91076.2120
335,307419.2794,90882.4725
336,305021.9903,90647.8836
337,302685.5185,90373.7825
338,300411.1612,90061.5695
339,298200.0572,89712.7005
340,296053.1931,89328.6781
341,293971.4093,88911.0439
342,291955.4065,88461.3709
343,290005.7525,87981.2557
344,288122.8889,87472.3114
345,286307.1380,86936.1609
346,284558.7093,86374.4303
347,282877.7068,85788.7429
348,281264.1351,85180.7135
349,279717.9065,84551.9431
350,278238.8471,83904.0140
351,276826.7031,83238.4855
352,275481.1466,82556.8899
353,274201.7821,81860.7288
354,272988.1512,81151.4699
355,271839.7384,80430.5442
356,270755.9762,79699.3436
357,269736.2497,78959.2187
358,268779.9012,78211.4772
359,267886.2345,77457.3824
360,267054.5189,76698.1520
361,266283.9932,75934.9574
362,265573.8685,75168.9230
363,264923.3324,74401.1259
364,264331.5513,73632.5961
365,263797.6733,72864.3160
