dia,poblacion_sana,poblacion_infectada
0,24990.0000,10.0000
1,24989.7982,10.2018
2,24989.5924,10.4076
3,24989.3825,10.6175
4,24989.1683,10.8317
5,24988.9497,11.0503
6,24988.7268,11.2732
7,24988.4994,11.5006
8,24988.2674,11.7326
9,24988.0308,11.9692
10,24987.7893,12.2107
11,24987.5430,12.4570
12,24987.2918,12.7082
13,24987.0355,12.9645
14,24986.7740,13.2260
15,24986.5073,13.4927
16,24986.2352,13.7648
17,24985.9576,14.0424
18,24985.6744,14.3256
19,24985.3856,14.6144
20,24985.0909,14.9091
21,24984.7903,15.2097
22,24984.4836,15.5164
23,24984.1708,15.8292
24,24983.8516,16.1484
25,24983.5261,16.4739
26,24983.1940,16.8060
27,24982.8552,17.1448
28,24982.5096,17.4904
29,24982.1571,17.8429
30,24981.7974,18.2026
31,24981.4306,18.5694
32,24981.0563,18.9437
33,24980.6746,19.3254
34,24980.2851,19.7149
35,24979.8878,20.1122
36,24979.4826,20.5174
37,24979.0692,20.9308
38,24978.6475,21.3525
39,24978.2173,21.7827
40,24977.7785,22.2215
41,24977.3308,22.6692
42,24976.8742,23.1258
43,24976.4084,23.5916
44,24975.9333,24.0667
45,24975.4486,24.5514
46,24974.9541,25.0459
47,24974.4498,25.5502
48,24973.9353,26.0647
49,24973.4105,26.5895
50,24972.8752,27.1248
51,24972.3291,27.6709
52,24971.7721,28.2279
53,24971.2039,28.7961
54,24970.6243,29.3757
55,24970.0331,29.9669
56,24969.4300,30.5700
57,24968.8148,31.1852
58,24968.1874,31.8126
59,24967.5473,32.4527
60,24966.8944,33.1056
61,24966.2284,33.7716
62,24965.5491,34.4509
63,24964.8562,35.1438
64,24964.1494,35.8506
65,24963.4285,36.5715
66,24962.6931,37.3069
67,24961.9430,38.0570
68,24961.1780,38.8220
69,24960.3976,39.6024
70,24959.6016,40.3984
71,24958.7896,41.2104
72,24957.9615,42.0385
73,24957.1168,42.8832
74,24956.2552,43.7448
75,24955.3764,44.6236
76,24954.4800,45.5200
77,24953.5658,46.4342
78,24952.6333,47.3667
79,24951.6822,48.3178
80,24950.7121,49.2879
81,24949.7226,50.2774
82,24948.7134,51.2866
83,24947.6841,52.3159
84,24946.6342,53.3658
85,24945.5635,54.4365
86,24944.4714,55.5286
87,24943.3575,56.6425
88,24942.2215,57.7785
89,24941.0628,58.9372
90,24939.8811,60.1189
91,24938.6759,61.3241
92,24937.4467,62.5533
93,24936.1931,63.8069
94,24934.9145,65.0855
95,24933.6105,66.3895
96,24932.2807,67.7193
97,24930.9244,69.0756
98,24929.5412,70.4588
99,24928.1305,71.8695
100,24926.6919,73.3081
101,24925.2247,74.7753
102,24923.7285,76.2715
103,24922.2026,77.7974
104,24920.6465,79.3535
105,24919.0596,80.9404
106,24917.4412,82.5588
107,24915.7909,84.2091
108,24914.1079,85.8921
109,24912.3916,87.6084
110,24910.6415,89.3585
111,24908.8568,91.1432
112,24907.0368,92.9632
113,24905.1809,94.8191
114,24903.2885,96.7115
115,24901.3587,98.6413
116,24899.3909,100.6091
117,24897.3844,102.6156
118,24895.3383,104.6617
119,24893.2520,106.7480
120,24891.1247,108.8753
121,24888.9556,111.0444
122,24886.7439,113.2561
123,24884.4888,115.5112
124,24882.1894,117.8106
125,24879.8450,120.1550
126,24877.4546,122.5454
127,24875.0174,124.9826
128,24872.5326,127.4674
129,24869.9991,130.0009
130,24867.4161,132.5839
131,24864.7827,135.2173
132,24862.0978,137.9022
133,24859.3606,140.6394
134,24856.5700,143.4300
135,24853.7251,146.2749
136,24850.8249,149.1751
137,24847.8682,152.1318
138,24844.8540,155.1460
139,24841.7814,158.2186
140,24838.6491,161.3509
141,24835.4561,164.5439
142,24832.2012,167.7988
143,24828.8833,171.1167
144,24825.5013,174.4987
145,24822.0539,177.9461
146,24818.5400,181.4600
147,24814.9583,185.0417
148,24811.3076,188.6924
149,24807.5867,192.4133
150,24803.7941,196.2059
151,24799.9287,200.0713
152,24795.9891,204.0109
153,24791.9740,208.0260
154,24787.8820,212.1180
155,24783.7116,216.2884
156,24779.4616,220.5384
157,24775.1305,224.8695
158,24770.7167,229.2833
159,24766.2189,233.7811
160,24761.6355,238.3645
161,24756.9650,243.0350
162,24752.2058,247.7942
163,24747.3565,252.6435
164,24742.4154,257.5846
165,24737.3808,262.6192
