dia,poblacion_sana,poblacion_infectada
317,1096005.7288,1039.7375
318,1095976.6621,1047.2499
319,1095947.3914,1054.8143
320,1095917.9154,1062.4310
321,1095888.2327,1070.1004
322,1095858.3419,1077.8227
323,1095828.2418,1085.5982
324,1095797.9310,1093.4274
325,1095767.4081,1101.3105
326,1095736.6718,1109.2480
327,1095705.7206,1117.2400
328,1095674.5532,1125.2870
329,1095643.1682,1133.3893
330,1095611.5642,1141.5473
331,1095579.7399,1149.7612
332,1095547.6937,1158.0315
333,1095515.4243,1166.3584
334,1095482.9302,1174.7424
335,1095450.2101,1183.1837
336,1095417.2624,1191.6828
337,1095384.0858,1200.2399
338,1095350.6787,1208.8554
339,1095317.0398,1217.5298
340,1095283.1675,1226.2633
341,1095249.0604,1235.0562
342,1095214.7170,1243.9091
343,1095180.1357,1252.8221
344,1095145.3152,1261.7958
345,1095110.2539,1270.8303
346,1095074.9503,1279.9262
347,1095039.4028,1289.0838
348,1095003.6100,1298.3034
349,1094967.5703,1307.5855
350,1094931.2822,1316.9303
351,1094894.7441,1326.3383
352,1094857.9545,1335.8098
353,1094820.9118,1345.3452
354,1094783.6144,1354.9449
355,1094746.0609,1364.6093
356,1094708.2495,1374.3388
357,1094670.1786,1384.1336
358,1094631.8468,1393.9943
359,1094593.2524,1403.9212
360,1094554.3938,1413.9147
361,1094515.2693,1423.9751
362,1094475.8774,1434.1029
363,1094436.2164,1444.2985
364,1094396.2846,1454.5622
365,1094356.0805,1464.8944
