dia,poblacion_sana,poblacion_infectada
199,171197.8722,3014.9676
200,174381.8646,3031.5211
201,177599.9568,3051.5826
202,180851.3094,3075.2567
203,184135.0207,3102.6607
204,187450.1240,3133.9260
205,190795.5861,3169.1984
206,194170.3049,3208.6390
207,197573.1066,3252.4260
208,201002.7438,3300.7548
209,204457.8927,3353.8404
210,207937.1503,3411.9177
211,211439.0313,3475.2441
212,214961.9655,3544.1002
213,218504.2941,3618.7923
214,222064.2660,3699.6542
215,225640.0345,3787.0493
216,229229.6527,3881.3732
217,232831.0693,3983.0558
218,236442.1238,4092.5648
219,240060.5411,4210.4084
220,243683.9261,4337.1386
221,247309.7575,4473.3550
222,250935.3810,4619.7086
223,254558.0025,4776.9063
224,258174.6796,4945.7150
225,261782.3139,5126.9674
226,265377.6409,5321.5666
227,268957.2209,5530.4923
228,272517.4271,5754.8071
229,276054.4351,5995.6628
230,279564.2091,6254.3077
231,283042.4893,6532.0943
232,286484.7766,6830.4871
233,289886.3175,7151.0714
234,293242.0871,7495.5617
235,296546.7718,7865.8113
236,299794.7508,8263.8220
237,302980.0765,8691.7535
238,306096.4541,9151.9338
239,309137.2212,9646.8689
240,312095.3266,10179.2527
241,314963.3083,10751.9765
242,317733.2732,11368.1374
243,320396.8761,12031.0460
244,322945.3007,12744.2329
245,325369.2426,13511.4525
246,327658.8947,14336.6850
247,329803.9362,15224.1351
248,331793.5274,16178.2257
249,333616.3098,17203.5886
250,335260.4146,18305.0469
251,336713.4802,19487.5927
252,337962.6818,20756.3546
253,338994.7735,22116.5572
254,339796.1475,23573.4684
255,340352.9098,25132.3352
256,340650.9771,26798.3066
257,340676.1958,28576.3402
258,340414.4856,30471.0955
259,339852.0089,32486.8095
260,338975.3669,34627.1578
261,337771.8231,36895.0998
262,336229.5526,39292.7106
263,334337.9155,41821.0021
264,332087.7502,44479.7361
265,329471.6818,47267.2361
266,326484.4373,50180.2022
267,323123.1596,53213.5373
268,319387.7089,56360.1930
269,315280.9382,59611.0454
270,310808.9314,62954.8083
271,305981.1882,66377.9959
272,300810.7436,69864.9417
273,295314.2093,73397.8818
274,289511.7271,76957.1070
275,283426.8283,80521.1858
276,277086.1954,84067.2564
277,270519.3304,87571.3828
