dia,poblacion_sana,poblacion_infectada
193,194386.1675,1202.2406
194,199286.1498,1131.9580
195,204310.8987,1066.1809
196,209463.5402,1004.6093
197,214747.2809,946.9640
198,220165.4101,892.9847
199,225721.3015,842.4290
200,231418.4156,795.0708
201,237260.3014,750.6997
202,243250.5994,709.1194
203,249393.0427,670.1471
204,255691.4605,633.6120
205,262149.7796,599.3555
206,268772.0271,567.2292
207,275562.3330,537.0950
208,282524.9327,508.8240
209,289664.1697,482.2960
210,296984.4979,457.3991
211,304490.4849,434.0286
212,312186.8147,412.0870
213,320078.2901,391.4835
214,328169.8366,372.1330
215,336466.5045,353.9565
216,344973.4728,336.8799
217,353696.0519,320.8345
218,362639.6872,305.7557
219,371809.9626,291.5837
220,381212.6033,278.2622
221,390853.4803,265.7390
222,400738.6134,253.9654
223,410874.1750,242.8956
224,421266.4943,232.4873
225,431922.0610,222.7006
226,442847.5291,213.4987
227,454049.7217,204.8468
228,465535.6344,196.7129
229,477312.4405,189.0667
230,489387.4949,181.8804
231,501768.3387,175.1278
232,514462.7042,168.7845
233,527478.5196,162.8278
234,540823.9138,157.2367
235,554507.2216,151.9916
236,568536.9886,147.0742
237,582921.9771,142.4676
238,597671.1710,138.1562
239,612793.7815,134.1253
240,628299.2531,130.3618
241,644197.2692,126.8531
242,660497.7581,123.5879
243,677210.8994,120.5560
244,694347.1300,117.7478
245,711917.1510,115.1548
246,729931.9339,112.7693
247,748402.7276,110.5843
248,767341.0656,108.5940
249,786758.7725,106.7929
250,806667.9722,105.1767
251,827081.0945,103.7417
252,848010.8834,102.4851
253,869470.4047,101.4047
254,891473.0542,100.4994
255,914032.5658,99.7687
256,937163.0200,99.2131
257,960878.8524,98.8342
258,985194.8631,98.6341
259,1010126.2249,98.6164
260,1035688.4933,98.7856
261,1061897.6154,99.1474
262,1088769.9402,99.7087
263,1116322.2278,100.4781
264,1144571.6601,101.4655
265,1173535.8507,102.6827
266,1203232.8556,104.1433
267,1233681.1840,105.8632
268,1264899.8092,107.8605
269,1296908.1795,110.1565
270,1329726.2299,112.7751
271,1363374.3931,115.7441
272,1397873.6118,119.0952
273,1433245.3498,122.8648
274,1469511.6044,127.0947
275,1506694.9180,131.8328
276,1544818.3903,137.1342
277,1583905.6904,143.0624
278,1623981.0685,149.6906
279,1665069.3676,157.1033
280,1707196.0352,165.3984
281,1750387.1343,174.6894
282,1794669.3540,185.1085
283,1840070.0194,196.8098
284,1886617.1004,209.9735
285,1934339.2192,224.8110
286,1983265.6566,241.5708
287,2033426.3555,260.5463
288,2084851.9224,282.0849
289,2137573.6246,306.5990
290,2191623.3840,334.5804
291,2247033.7641,366.6172
292,2303837.9509,403.4155
293,2362069.7239,445.8263
294,2421763.4151,494.8793
295,2482953.8539,551.8251
296,2545676.2914,618.1894
297,2609966.2999,695.8412
298,2675859.6407,787.0798
299,2743392.0880,894.7469
300,2812599.1994,1022.3710
301,2883516.0123,1174.3533
302,2956176.6470,1356.2108
303,3030613.7819,1574.8933
304,3106857.9634,1839.1999
305,3184936.6910,2160.3292
306,3264873.2043,2552.6088
307,3346684.8653,3034.4691
308,3430380.9940,3629.7484
309,3515959.9600,4369.4530
310,3603405.2545,5294.1403
311,3692680.1620,6457.1650
312,3783720.4989,7929.1202
313,3876424.6716,9803.9420
314,3970640.0082,12207.3366
315,4066143.8932,15308.4547
316,4162617.6497,19336.1087
317,4259610.3036,24601.3380
318,4356488.2783,31528.7986
319,4452365.6661,40700.3146
320,4546008.0279,52914.9188
321,4635700.9133,69270.6559
322,4719073.1125,91273.7854
323,4792865.6155,120979.6327
324,4852643.6294,161163.7355
325,4892466.9536,215507.6474
326,4904573.6028,288753.6237
327,4879205.5270,386727.9288
328,4804820.1282,516051.0511
329,4669061.1689,683268.3077
330,4460901.9254,893131.1974
331,4174103.7113,1146004.4151
332,3811332.1856,1435016.5442
333,3387110.9881,1744436.3712
334,2927245.6674,2051037.4571
335,2463676.1960,2328973.9699
336,2026631.1990,2556317.9799
337,1637942.0986,2720021.9208
338,1308369.1060,2817198.2974
339,1038936.0056,2853084.0914
340,824300.3031,2837580.6239
341,656155.0517,2782096.4037
342,525652.2971,2697465.2859
343,424731.3153,2592930.8220
344,346642.1902,2475866.1477
345,286005.6815,2351890.1540
346,238659.6264,2225144.3625
347,201437.9243,2098599.4554
348,171953.3393,1974331.8889
349,148411.8972,1853751.0162
350,129464.9351,1737776.2289
351,114095.6101,1626971.0485
352,101533.7192,1521642.8522
353,91192.5250,1421916.2815
354,82622.1649,1327786.9634
355,75475.3457,1239160.7032
356,69482.0539,1155882.0285
357,64430.8544,1077754.9545
358,60155.0021,1004558.0690
359,56522.0740,936055.4644
360,53426.1853,872004.6303
361,50782.1090,812162.1125
362,48520.8071,756287.5309
363,46586.0113,704146.3863
364,44931.5911,655511.9736
365,43519.5150,610166.6349
